t,u,y
0.00000000,0.36324835,83.57143402
0.02000000,0.36324835,77.14286041
0.04000000,0.36324835,77.14286041
0.06000000,0.36324835,77.14286041
0.08000000,0.36324835,77.14286041
0.10000000,0.36324835,77.14286041
0.12000000,0.36324835,70.71428680
0.14000000,0.36324835,70.71428680
0.16000000,0.36324835,77.14286041
0.18000000,0.36324835,70.71428680
0.20000000,0.36324835,70.71428680
0.22000000,0.36324835,70.71428680
0.24000000,0.36324835,70.71428680
0.26000000,0.36324835,70.71428680
0.28000000,0.36324835,70.71428680
0.30000000,0.36324835,70.71428680
0.32000000,0.36324835,70.71428680
0.34000000,0.36324835,64.28572083
0.36000000,0.36324835,77.14286041
0.38000000,0.36324835,64.28572083
0.40000000,0.36324835,64.28572083
0.42000000,0.36324835,70.71428680
0.44000000,0.36324835,70.71428680
0.46000000,0.36324835,64.28572083
0.48000000,0.36324835,64.28572083
0.50000000,0.36324835,64.28572083
0.52000000,0.36324835,70.71428680
0.54000000,0.36324835,70.71428680
0.56000000,0.36324835,64.28572083
0.58000000,0.36324835,64.28572083
0.60000000,0.36324835,64.28572083
0.62000000,0.36324835,64.28572083
0.64000000,0.36324835,64.28572083
0.66000000,0.36324835,70.71428680
0.68000000,0.36324835,57.85714340
0.70000000,0.36324835,64.28572083
0.72000000,0.36324835,64.28572083
0.74000000,0.36324835,64.28572083
0.76000000,0.36324835,70.71428680
0.78000000,0.36324835,64.28572083
0.80000000,0.36324835,64.28572083
0.82000000,0.36324835,57.85714340
0.84000000,0.36324835,64.28572083
0.86000000,0.36324835,64.28572083
0.88000000,0.36324835,70.71428680
0.90000000,0.36324835,70.71428680
0.92000000,0.36324835,64.28572083
0.94000000,0.36324835,64.28572083
0.96000000,0.36324835,64.28572083
0.98000000,0.36324835,64.28572083
1.00000000,0.36324835,70.71428680
1.02000000,0.36324835,64.28572083
1.04000000,0.36324835,64.28572083
1.06000000,0.36324835,70.71428680
1.08000000,0.36324835,64.28572083
1.10000000,0.36324835,70.71428680
1.12000000,0.36324835,64.28572083
1.14000000,0.36324835,64.28572083
1.16000000,0.36324835,70.71428680
1.18000000,0.36324835,64.28572083
1.20000000,0.36324835,70.71428680
1.22000000,0.36324835,70.71428680
1.24000000,0.36324835,70.71428680
1.26000000,0.36324835,64.28572083
1.28000000,0.36324835,70.71428680
1.30000000,0.36324835,70.71428680
1.32000000,0.36324835,70.71428680
1.34000000,0.36324835,64.28572083
1.36000000,0.36324835,70.71428680
1.38000000,0.36324835,70.71428680
1.40000000,0.36324835,64.28572083
1.42000000,0.36324835,70.71428680
1.44000000,0.36324835,70.71428680
1.46000000,0.36324835,70.71428680
1.48000000,0.36324835,70.71428680
1.50000000,0.36324835,70.71428680
1.52000000,0.36324835,70.71428680
1.54000000,0.36324835,64.28572083
1.56000000,0.36324835,70.71428680
1.58000000,0.36324835,70.71428680
1.60000000,0.36324835,64.28572083
1.62000000,0.36324835,77.14286041
1.64000000,0.36324835,64.28572083
1.66000000,0.36324835,70.71428680
1.68000000,0.36324835,70.71428680
1.70000000,0.36324835,70.71428680
1.72000000,0.36324835,70.71428680
1.74000000,0.36324835,70.71428680
1.76000000,0.36324835,70.71428680
1.78000000,0.36324835,70.71428680
1.80000000,0.36324835,77.14286041
1.82000000,0.36324835,70.71428680
1.84000000,0.36324835,70.71428680
1.86000000,0.36324835,70.71428680
1.88000000,0.36324835,77.14286041
1.90000000,0.36324835,70.71428680
1.92000000,0.36324835,77.14286041
1.94000000,0.36324835,70.71428680
1.96000000,0.36324835,77.14286041
1.98000000,0.36324835,70.71428680
2.00000000,0.36324835,70.71428680
2.02000000,0.36324835,77.14286041
2.04000000,0.36324835,70.71428680
2.06000000,0.36324835,77.14286041
2.08000000,0.36324835,70.71428680
2.10000000,0.36324835,77.14286041
2.12000000,0.36324835,70.71428680
2.14000000,0.36324835,70.71428680
2.16000000,0.36324835,77.14286041
